state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed
IN,2020-10-06,124,3
KS,2020-10-06,81,0
KY,2020-10-06,620,1
LA,2020-10-06,119,2
MA,2020-10-06,40,0
MD,2020-10-06,63,1
ME,2020-10-06,0,0
MI,2020-10-06,101,0
MN,2020-10-06,78,2
MO,2020-10-06,146,1
MS,2020-10-06,103,5
MT,2020-10-06,43,8
NC,2020-10-06,132,4
ND,2020-10-06,29,3
NE,2020-10-06,32,0
NH,2020-10-06,2,0
NJ,2020-10-06,60,0
NM,2020-10-06,14,0
NV,2020-10-06,46,0
NY,2020-10-06,133,5
OH,2020-10-06,153,6
OK,2020-10-06,164,6
OR,2020-10-06,14,1
PA,2020-10-06,93,2
PR,2020-10-06,17,0
RI,2020-10-06,13,0
SC,2020-10-06,74,0
SD,2020-10-06,64,1
TN,2020-10-06,131,4
TX,2020-10-06,521,9
UT,2020-10-06,47,3
VA,2020-10-06,79,6
VI,2020-10-06,0,0
VT,2020-10-06,2,0
WA,2020-10-06,22,1
WI,2020-10-06,210,0
WV,2020-10-06,17,1
WY,2020-10-06,11,0
AK,2020-10-05,5,0
AL,2020-10-05,93,4
AR,2020-10-05,61,0
AZ,2020-10-05,66,0
CA,2020-10-05,315,0
CO,2020-10-05,42,1
CT,2020-10-05,15,0
DC,2020-10-05,11,0
DE,2020-10-05,9,5
FL,2020-10-05,247,9
GA,2020-10-05,213,9
HI,2020-10-05,18,0
IA,2020-10-05,59,1
ID,2020-10-05,15,0
IL,2020-10-05,118,1
IN,2020-10-05,112,3
KS,2020-10-05,55,0
KY,2020-10-05,601,0
LA,2020-10-05,119,0
MA,2020-10-05,44,0
MD,2020-10-05,40,1
ME,2020-10-05,0,0
MI,2020-10-05,83,0
MN,2020-10-05,59,2
MO,2020-10-05,157,2
MS,2020-10-05,69,3
MT,2020-10-05,40,7
NC,2020-10-05,111,5
ND,2020-10-05,27,1
NE,2020-10-05,37,1
NH,2020-10-05,0,0
NJ,2020-10-05,55,0
NM,2020-10-05,14,0
NV,2020-10-05,34,1
NY,2020-10-05,110,3
OH,2020-10-05,159,5
OK,2020-10-05,147,4
OR,2020-10-05,15,0
PA,2020-10-05,72,2
PR,2020-10-05,41,1
RI,2020-10-05,5,0
SC,2020-10-05,65,1
SD,2020-10-05,36,1
TN,2020-10-05,124,2
TX,2020-10-05,443,16
UT,2020-10-05,27,4
VA,2020-10-05,58,3
VI,2020-10-05,0,0
VT,2020-10-05,0,0
WA,2020-10-05,27,0
WI,2020-10-05,170,0
WV,2020-10-05,16,0
WY,2020-10-05,17,1
AK,2020-10-04,5,0
AL,2020-10-04,95,3
AR,2020-10-04,70,0
AZ,2020-10-04,60,1
CA,2020-10-04,288,6
CO,2020-10-04,24,2
CT,2020-10-04,23,0
DC,2020-10-04,8,0
DE,2020-10-04,5,2
FL,2020-10-04,242,16
GA,2020-10-04,208,4
HI,2020-10-04,24,0
IA,2020-10-04,56,1
ID,2020-10-04,18,2
IL,2020-10-04,132,1
IN,2020-10-04,90,2
KS,2020-10-04,42,0
KY,2020-10-04,108,2
LA,2020-10-04,56,0
MA,2020-10-04,33,0
MD,2020-10-04,44,0
ME,2020-10-04,0,0
MI,2020-10-04,69,0
MN,2020-10-04,44,2
MO,2020-10-04,107,3
MS,2020-10-04,69,3
MT,2020-10-04,41,3
NC,2020-10-04,100,2
ND,2020-10-04,18,0
NE,2020-10-04,27,0
NH,2020-10-04,3,0
NJ,2020-10-04,41,0
NM,2020-10-04,30,0
NV,2020-10-04,25,0
NY,2020-10-04,83,2
OH,2020-10-04,123,3
OK,2020-10-04,130,4
OR,2020-10-04,14,0
PA,2020-10-04,72,0
PR,2020-10-04,39,2
RI,2020-10-04,2,1
SC,2020-10-04,60,0
SD,2020-10-04,40,0
TN,2020-10-04,85,2
TX,2020-10-04,428,12
UT,2020-10-04,24,3
VA,2020-10-04,50,3
VI,2020-10-04,0,0
VT,2020-10-04,0,0
WA,2020-10-04,18,0
WI,2020-10-04,164,0
WV,2020-10-04,13,0
WY,2020-10-04,15,1
AK,2020-10-03,7,0
AL,2020-10-03,114,6
AR,2020-10-03,71,0
AZ,2020-10-03,61,2
CA,2020-10-03,326,2
CO,2020-10-03,30,1
CT,2020-10-03,14,0
DC,2020-10-03,10,2
DE,2020-10-03,11,0
FL,2020-10-03,254,14
GA,2020-10-03,236,8
HI,2020-10-03,49,0
IA,2020-10-03,64,2
ID,2020-10-03,28,2
IL,2020-10-03,144,1
IN,2020-10-03,86,3
KS,2020-10-03,56,0
KY,2020-10-03,142,1
LA,2020-10-03,60,1
MA,2020-10-03,43,0
MD,2020-10-03,45,1
ME,2020-10-03,0,0
MI,2020-10-03,85,0
MN,2020-10-03,56,2
MO,2020-10-03,134,2
MS,2020-10-03,64,3
MT,2020-10-03,37,3
NC,2020-10-03,97,5
ND,2020-10-03,25,0
NE,2020-10-03,30,0
NH,2020-10-03,7,0
NJ,2020-10-03,45,0
NM,2020-10-03,15,0
NV,2020-10-03,39,1
NY,2020-10-03,101,3
OH,2020-10-03,126,2
OK,2020-10-03,139,4
OR,2020-10-03,8,0
PA,2020-10-03,72,2
PR,2020-10-03,23,0
RI,2020-10-03,3,0
SC,2020-10-03,61,1
SD,2020-10-03,42,0
TN,2020-10-03,112,5
TX,2020-10-03,608,14
UT,2020-10-03,26,5
VA,2020-10-03,69,1
VI,2020-10-03,0,0
VT,2020-10-03,0,0
WA,2020-10-03,21,0
WI,2020-10-03,199,1
WV,2020-10-03,19,2
WY,2020-10-03,11,2
AK,2020-10-02,3,0
AL,2020-10-02,105,1
AR,2020-10-02,58,0
AZ,2020-10-02,51,0
CA,2020-10-02,315,1
CO,2020-10-02,34,1
CT,2020-10-02,17,0
DC,2020-10-02,5,1
DE,2020-10-02,9,0
FL,2020-10-02,239,6
GA,2020-10-02,269,8
HI,2020-10-02,17,0
IA,2020-10-02,59,0
ID,2020-10-02,22,0
IL,2020-10-02,128,3
IN,2020-10-02,78,3
KS,2020-10-02,34,0
KY,2020-10-02,148,1
LA,2020-10-02,78,0
MA,2020-10-02,42,0
MD,2020-10-02,43,0
ME,2020-10-02,1,0
MI,2020-10-02,73,0
MN,2020-10-02,45,3
MO,2020-10-02,132,2
MS,2020-10-02,60,4
MT,2020-10-02,37,8
NC,2020-10-02,123,5
ND,2020-10-02,27,0
NE,2020-10-02,24,0
NH,2020-10-02,0,0
NJ,2020-10-02,40,0
NM,2020-10-02,10,0
NV,2020-10-02,36,0
NY,2020-10-02,95,3
OH,2020-10-02,98,3
OK,2020-10-02,135,1
OR,2020-10-02,10,0
PA,2020-10-02,60,0
PR,2020-10-02,27,1
RI,2020-10-02,10,1
SC,2020-10-02,54,1
SD,2020-10-02,47,0
TN,2020-10-02,122,3
TX,2020-10-02,455,11
UT,2020-10-02,28,7
VA,2020-10-02,64,5
VI,2020-10-02,0,0
VT,2020-10-02,0,0
WA,2020-10-02,22,2
WI,2020-10-02,194,2
WV,2020-10-02,19,0
WY,2020-10-02,4,1
AK,2020-10-01,4,0
AL,2020-10-01,119,2
AR,2020-10-01,72,3
AZ,2020-10-01,51,2
CA,2020-10-01,333,4
CO,2020-10-01,42,2
CT,2020-10-01,19,0
DC,2020-10-01,14,2
DE,2020-10-01,10,0
FL,2020-10-01,258,8
GA,2020-10-01,295,13
HI,2020-10-01,7,0
IA,2020-10-01,68,0
ID,2020-10-01,16,0
IL,2020-10-01,136,1
IN,2020-10-01,91,0
KS,2020-10-01,54,0
KY,2020-10-01,145,2
LA,2020-10-01,74,0
MA,2020-10-01,37,3
MD,2020-10-01,59,0
ME,2020-10-01,2,0
MI,2020-10-01,78,4
MN,2020-10-01,48,2
MO,2020-10-01,132,2
MS,2020-10-01,57,0
MT,2020-10-01,31,3
NC,2020-10-01,97,4
ND,2020-10-01,29,0
NE,2020-10-01,21,0
NH,2020-10-01,4,0
NJ,2020-10-01,40,0
NM,2020-10-01,23,0
NV,2020-10-01,38,0
NY,2020-10-01,126,6
OH,2020-10-01,111,2
OK,2020-10-01,129,1
OR,2020-10-01,19,0
PA,2020-10-01,76,1
PR,2020-10-01,23,1
RI,2020-10-01,6,0
SC,2020-10-01,60,0
SD,2020-10-01,40,0
TN,2020-10-01,126,2
TX,2020-10-01,437,12
UT,2020-10-01,26,3
VA,2020-10-01,66,1
VI,2020-10-01,0,0
VT,2020-10-01,0,0
WA,2020-10-01,24,1
WI,2020-10-01,141,1
WV,2020-10-01,10,0
WY,2020-10-01,15,0
AK,2020-09-30,5,0
AL,2020-09-30,100,1
AR,2020-09-30,72,1
AZ,2020-09-30,51,1
CA,2020-09-30,359,6
CO,2020-09-30,25,0
CT,2020-09-30,19,0
DC,2020-09-30,7,3
DE,2020-09-30,12,0
FL,2020-09-30,248,8
GA,2020-09-30,320,7
HI,2020-09-30,28,0
IA,2020-09-30,58,0
ID,2020-09-30,18,0
IL,2020-09-30,118,3
IN,2020-09-30,75,0
KS,2020-09-30,55,0
KY,2020-09-30,152,0
LA,2020-09-30,66,0
MA,2020-09-30,31,1
MD,2020-09-30,57,0
ME,2020-09-30,3,0
MI,2020-09-30,69,0
MN,2020-09-30,65,2
MO,2020-09-30,134,1
MS,2020-09-30,51,0
MT,2020-09-30,48,16
NC,2020-09-30,92,4
ND,2020-09-30,34,0
NE,2020-09-30,30,0
NH,2020-09-30,0,0
NJ,2020-09-30,49,0
NM,2020-09-30,19,0
NV,2020-09-30,26,11
NY,2020-09-30,104,2
OH,2020-09-30,122,5
OK,2020-09-30,130,2
OR,2020-09-30,19,0
PA,2020-09-30,84,0
PR,2020-09-30,26,1
RI,2020-09-30,5,0
SC,2020-09-30,57,0
SD,2020-09-30,38,0
TN,2020-09-30,130,3
TX,2020-09-30,386,7
UT,2020-09-30,31,3
VA,2020-09-30,66,3
VI,2020-09-30,0,0
VT,2020-09-30,1,0
WA,2020-09-30,17,0
WI,2020-09-30,140,2
WV,2020-09-30,22,0
WY,2020-09-30,16,0
AK,2020-09-29,3,0
AL,2020-09-29,113,0
AR,2020-09-29,80,1
AZ,2020-09-29,49,1
CA,2020-09-29,356,6
CO,2020-09-29,31,0
CT,2020-09-29,19,1
DC,2020-09-29,13,0
DE,2020-09-29,10,0
FL,2020-09-29,291,12
GA,2020-09-29,355,5
HI,2020-09-29,10,0
IA,2020-09-29,63,0
ID,2020-09-29,26,0
IL,2020-09-29,108,1
IN,2020-09-29,98,0
KS,2020-09-29,44,0
KY,2020-09-29,167,0
LA,2020-09-29,60,1
MA,2020-09-29,35,1
MD,2020-09-29,50,1
ME,2020-09-29,1,0
MI,2020-09-29,82,0
MN,2020-09-29,55,1
MO,2020-09-29,157,1
MS,2020-09-29,58,1
MT,2020-09-29,40,5
NC,2020-09-29,104,7
ND,2020-09-29,35,0
NE,2020-09-29,30,0
NH,2020-09-29,2,0
NJ,2020-09-29,27,1
NM,2020-09-29,19,0
NV,2020-09-29,30,1
NY,2020-09-29,109,6
OH,2020-09-29,102,3
OK,2020-09-29,133,2
OR,2020-09-29,14,0
PA,2020-09-29,86,0
PR,2020-09-29,23,0
RI,2020-09-29,3,0
SC,2020-09-29,51,0
SD,2020-09-29,60,0
TN,2020-09-29,115,4
TX,2020-09-29,436,8
UT,2020-09-29,26,3
VA,2020-09-29,60,3
VI,2020-09-29,0,0
VT,2020-09-29,0,0
WA,2020-09-29,19,0
WI,2020-09-29,130,1
WV,2020-09-29,20,0
WY,2020-09-29,11,0
AK,2020-09-28,4,0
AL,2020-09-28,88,1
AR,2020-09-28,56,0
AZ,2020-09-28,36,0
CA,2020-09-28,289,2
CO,2020-09-28,26,2
CT,2020-09-28,14,0
DC,2020-09-28,6,0
DE,2020-09-28,12,1
FL,2020-09-28,225,8
GA,2020-09-28,306,4
HI,2020-09-28,66,0
IA,2020-09-28,63,1
ID,2020-09-28,17,1
IL,2020-09-28,114,1
IN,2020-09-28,125,0
KS,2020-09-28,35,0
KY,2020-09-28,120,0
LA,2020-09-28,68,1
MA,2020-09-28,31,1
MD,2020-09-28,43,1
ME,2020-09-28,0,0
MI,2020-09-28,57,0
MN,2020-09-28,52,0
MO,2020-09-28,137,1
MS,2020-09-28,60,2
MT,2020-09-28,30,4
NC,2020-09-28,82,3
ND,2020-09-28,18,2
NE,2020-09-28,21,1
NH,2020-09-28,3,0
NJ,2020-09-28,30,0
NM,2020-09-28,11,0
NV,2020-09-28,26,1
NY,2020-09-28,220,7
OH,2020-09-28,93,5
OK,2020-09-28,116,1
OR,2020-09-28,14,0
PA,2020-09-28,61,0
PR,2020-09-28,20,1
RI,2020-09-28,3,0
SC,2020-09-28,52,1
SD,2020-09-28,31,1
TN,2020-09-28,90,3
TX,2020-09-28,396,13
UT,2020-09-28,34,3
VA,2020-09-28,39,3
VI,2020-09-28,0,0
VT,2020-09-28,0,0
WA,2020-09-28,20,0
WI,2020-09-28,134,1
WV,2020-09-28,14,0
WY,2020-09-28,10,0
AK,2020-09-27,7,0
AL,2020-09-27,103,3
AR,2020-09-27,44,1
AZ,2020-09-27,47,0
CA,2020-09-27,282,7
CO,2020-09-27,14,0
CT,2020-09-27,10,0
DC,2020-09-27,5,0
DE,2020-09-27,7,1
FL,2020-09-27,232,13
GA,2020-09-27,130,3
HI,2020-09-27,69,0
IA,2020-09-27,51,0
ID,2020-09-27,22,0
IL,2020-09-27,99,2
IN,2020-09-27,131,1
KS,2020-09-27,46,0
KY,2020-09-27,106,0
LA,2020-09-27,63,0
MA,2020-09-27,40,0
MD,2020-09-27,48,1
ME,2020-09-27,1,0
MI,2020-09-27,39,0
MN,2020-09-27,61,0
MO,2020-09-27,118,2
MS,2020-09-27,54,1
MT,2020-09-27,51,9
NC,2020-09-27,67,3
ND,2020-09-27,18,0
NE,2020-09-27,18,1
NH,2020-09-27,5,0
NJ,2020-09-27,38,0
NM,2020-09-27,23,0
NV,2020-09-27,31,0
NY,2020-09-27,88,3
OH,2020-09-27,77,5
OK,2020-09-27,105,1
OR,2020-09-27,13,0
PA,2020-09-27,53,0
PR,2020-09-27,20,1
RI,2020-09-27,4,0
SC,2020-09-27,44,0
SD,2020-09-27,37,0
TN,2020-09-27,77,2
TX,2020-09-27,375,8
UT,2020-09-27,24,3
VA,2020-09-27,38,3
VI,2020-09-27,0,0
VT,2020-09-27,0,0
WA,2020-09-27,23,0
WI,2020-09-27,127,1
WV,2020-09-27,12,0
WY,2020-09-27,10,0
AK,2020-09-26,5,0
AL,2020-09-26,127,3
AR,2020-09-26,64,0
AZ,2020-09-26,49,0
CA,2020-09-26,324,8
CO,2020-09-26,32,3
CT,2020-09-26,7,1
DC,2020-09-26,23,2
DE,2020-09-26,7,1
FL,2020-09-26,250,11
GA,2020-09-26,146,3
HI,2020-09-26,16,0
IA,2020-09-26,59,0
ID,2020-09-26,21,0
IL,2020-09-26,141,3
IN,2020-09-26,79,3
KS,2020-09-26,59,0
KY,2020-09-26,115,1
LA,2020-09-26,74,1
MA,2020-09-26,37,0
MD,2020-09-26,56,0
ME,2020-09-26,0,0
MI,2020-09-26,44,0
MN,2020-09-26,52,0
MO,2020-09-26,124,3
MS,2020-09-26,64,0
MT,2020-09-26,38,8
NC,2020-09-26,96,5
ND,2020-09-26,17,1
NE,2020-09-26,30,1
NH,2020-09-26,2,0
NJ,2020-09-26,26,1
NM,2020-09-26,14,0
NV,2020-09-26,41,2
NY,2020-09-26,104,5
OH,2020-09-26,97,3
OK,2020-09-26,108,1
OR,2020-09-26,14,0
PA,2020-09-26,60,0
PR,2020-09-26,22,0
RI,2020-09-26,5,0
SC,2020-09-26,74,0
SD,2020-09-26,47,0
TN,2020-09-26,105,3
TX,2020-09-26,479,7
UT,2020-09-26,21,3
VA,2020-09-26,51,3
VI,2020-09-26,0,0
VT,2020-09-26,0,0
WA,2020-09-26,22,0
WI,2020-09-26,137,1
WV,2020-09-26,11,0
WY,2020-09-26,13,0
AK,2020-09-25,8,0
AL,2020-09-25,102,0
AR,2020-09-25,65,0
AZ,2020-09-25,58,1
CA,2020-09-25,327,6
CO,2020-09-25,29,1
CT,2020-09-25,7,2
DC,2020-09-25,8,2
DE,2020-09-25,8,1
FL,2020-09-25,264,14
GA,2020-09-25,165,8
HI,2020-09-25,50,0
IA,2020-09-25,58,1
ID,2020-09-25,22,0
IL,2020-09-25,134,3
IN,2020-09-25,84,1
KS,2020-09-25,39,0
KY,2020-09-25,125,0
LA,2020-09-25,64,0
MA,2020-09-25,32,1
MD,2020-09-25,51,0
ME,2020-09-25,1,0
MI,2020-09-25,49,0
MN,2020-09-25,54,1
MO,2020-09-25,127,3
MS,2020-09-25,68,0
MT,2020-09-25,38,7
NC,2020-09-25,112,6
ND,2020-09-25,11,2
NE,2020-09-25,14,1
NH,2020-09-25,4,0
NJ,2020-09-25,29,0
NM,2020-09-25,8,0
NV,2020-09-25,36,0
NY,2020-09-25,114,4
OH,2020-09-25,102,1
OK,2020-09-25,129,1
OR,2020-09-25,17,0
PA,2020-09-25,59,0
PR,2020-09-25,17,1
RI,2020-09-25,5,0
SC,2020-09-25,61,1
SD,2020-09-25,46,0
TN,2020-09-25,114,2
TX,2020-09-25,392,7
UT,2020-09-25,27,4
VA,2020-09-25,40,3
VI,2020-09-25,0,0
VT,2020-09-25,0,0
WA,2020-09-25,27,0
WI,2020-09-25,114,0
WV,2020-09-25,16,0
WY,2020-09-25,9,0
AK,2020-09-24,2,0
AL,2020-09-24,116,1
AR,2020-09-24,66,0
AZ,2020-09-24,66,1
CA,2020-09-24,310,3
CO,2020-09-24,36,2
CT,2020-09-24,11,1
DC,2020-09-24,6,0
DE,2020-09-24,3,1
FL,2020-09-24,257,16
GA,2020-09-24,157,7
HI,2020-09-24,15,1
IA,2020-09-24,74,0
ID,2020-09-24,29,0
IL,2020-09-24,108,0
IN,2020-09-24,72,2
KS,2020-09-24,37,0
KY,2020-09-24,133,0
LA,2020-09-24,79,0
MA,2020-09-24,28,0
MD,2020-09-24,48,0
ME,2020-09-24,0,0
MI,2020-09-24,47,1
MN,2020-09-24,64,1
MO,2020-09-24,133,3
MS,2020-09-24,60,1
MT,2020-09-24,33,4
NC,2020-09-24,85,5
ND,2020-09-24,20,1
NE,2020-09-24,19,1
NH,2020-09-24,3,0
NJ,2020-09-24,26,0
NM,2020-09-24,9,0
NV,2020-09-24,47,1
NY,2020-09-24,113,5
OH,2020-09-24,77,1
OK,2020-09-24,112,1
OR,2020-09-24,22,0
PA,2020-09-24,56,0
PR,2020-09-24,23,2
RI,2020-09-24,6,0
SC,2020-09-24,66,1
SD,2020-09-24,45,0
TN,2020-09-24,92,3
TX,2020-09-24,426,6
UT,2020-09-24,29,6
VA,2020-09-24,57,0
VI,2020-09-24,0,0
VT,2020-09-24,0,0
WA,2020-09-24,24,0
WI,2020-09-24,110,2
WV,2020-09-24,17,1
WY,2020-09-24,8,0
AK,2020-09-23,4,0
AL,2020-09-23,106,3
AR,2020-09-23,67,0
AZ,2020-09-23,49,0
CA,2020-09-23,346,6
CO,2020-09-23,35,1
CT,2020-09-23,12,0
DC,2020-09-23,13,3
DE,2020-09-23,11,1
FL,2020-09-23,252,8
GA,2020-09-23,142,5
HI,2020-09-23,15,0
IA,2020-09-23,57,0
ID,2020-09-23,23,1
IL,2020-09-23,125,1
IN,2020-09-23,57,2
KS,2020-09-23,48,0
KY,2020-09-23,285,0
LA,2020-09-23,79,0
MA,2020-09-23,33,1
MD,2020-09-23,35,1
ME,2020-09-23,1,0
MI,2020-09-23,44,0
MN,2020-09-23,45,2
MO,2020-09-23,121,6
MS,2020-09-23,63,0
MT,2020-09-23,27,1
NC,2020-09-23,100,12
ND,2020-09-23,12,1
NE,2020-09-23,24,2
NH,2020-09-23,4,0
NJ,2020-09-23,33,1
NM,2020-09-23,10,0
NV,2020-09-23,48,0
NY,2020-09-23,101,2
OH,2020-09-23,78,4
OK,2020-09-23,112,2
OR,2020-09-23,12,0
PA,2020-09-23,62,0
PR,2020-09-23,29,2
RI,2020-09-23,6,0
SC,2020-09-23,78,0
SD,2020-09-23,34,0
TN,2020-09-23,101,5
TX,2020-09-23,402,8
UT,2020-09-23,36,3
VA,2020-09-23,59,2
VI,2020-09-23,0,0
VT,2020-09-23,1,0
WA,2020-09-23,26,2
WI,2020-09-23,104,2
WV,2020-09-23,21,0
WY,2020-09-23,7,0
AK,2020-09-22,7,0
AL,2020-09-22,127,2
AR,2020-09-22,76,0
AZ,2020-09-22,60,0
CA,2020-09-22,319,6
CO,2020-09-22,23,1
CT,2020-09-22,13,0
DC,2020-09-22,7,0
DE,2020-09-22,1,0
FL,2020-09-22,310,19
GA,2020-09-22,166,8
HI,2020-09-22,16,0
IA,2020-09-22,61,0
ID,2020-09-22,18,1
IL,2020-09-22,120,3
IN,2020-09-22,58,3
KS,2020-09-22,40,0
KY,2020-09-22,137,0
LA,2020-09-22,91,0
MA,2020-09-22,20,0
MD,2020-09-22,49,2
ME,2020-09-22,0,0
MI,2020-09-22,41,1
MN,2020-09-22,63,1
MO,2020-09-22,104,3
MS,2020-09-22,87,1
MT,2020-09-22,27,1
NC,2020-09-22,104,10
ND,2020-09-22,19,1
NE,2020-09-22,26,0
NH,2020-09-22,3,0
NJ,2020-09-22,24,1
NM,2020-09-22,5,0
NV,2020-09-22,38,0
NY,2020-09-22,87,4
OH,2020-09-22,79,3
OK,2020-09-22,120,1
OR,2020-09-22,18,0
PA,2020-09-22,57,0
PR,2020-09-22,24,2
RI,2020-09-22,9,0
SC,2020-09-22,83,1
SD,2020-09-22,40,0
TN,2020-09-22,128,0
TX,2020-09-22,512,9
UT,2020-09-22,38,4
VA,2020-09-22,47,1
VI,2020-09-22,0,0
VT,2020-09-22,0,0
WA,2020-09-22,25,0
WI,2020-09-22,110,0
WV,2020-09-22,10,0
WY,2020-09-22,8,1
AK,2020-09-21,2,0
AL,2020-09-21,105,2
AR,2020-09-21,61,9
AZ,2020-09-21,46,0
CA,2020-09-21,295,5
CO,2020-09-21,27,1
CT,2020-09-21,6,1
DC,2020-09-21,11,0
DE,2020-09-21,7,0
FL,2020-09-21,228,21
GA,2020-09-21,169,8
HI,2020-09-21,15,0
IA,2020-09-21,43,0
ID,2020-09-21,11,1
IL,2020-09-21,87,1
IN,2020-09-21,60,5
KS,2020-09-21,43,0
KY,2020-09-21,249,1
LA,2020-09-21,69,0
MA,2020-09-21,28,0
MD,2020-09-21,32,0
ME,2020-09-21,1,0
MI,2020-09-21,56,2
MN,2020-09-21,34,1
MO,2020-09-21,101,1
MS,2020-09-21,50,0
MT,2020-09-21,27,0
NC,2020-09-21,77,5
ND,2020-09-21,21,1
NE,2020-09-21,26,0
NH,2020-09-21,2,0
NJ,2020-09-21,19,73
NM,2020-09-21,10,0
NV,2020-09-21,38,0
NY,2020-09-21,76,2
OH,2020-09-21,76,1
OK,2020-09-21,105,4
OR,2020-09-21,12,1
PA,2020-09-21,58,0
PR,2020-09-21,35,5
RI,2020-09-21,5,0
SC,2020-09-21,58,1
SD,2020-09-21,34,0
TN,2020-09-21,91,2
TX,2020-09-21,318,5
UT,2020-09-21,15,3
VA,2020-09-21,38,1
VI,2020-09-21,0,0
VT,2020-09-21,0,0
WA,2020-09-21,29,0
WI,2020-09-21,76,0
WV,2020-09-21,17,0
WY,2020-09-21,7,0
AK,2020-09-20,5,2
AL,2020-09-20,92,1
AR,2020-09-20,65,0
AZ,2020-09-20,56,0
CA,2020-09-20,301,4
CO,2020-09-20,24,1
CT,2020-09-20,8,0
DC,2020-09-20,7,3
DE,2020-09-20,9,0
FL,2020-09-20,250,7
GA,2020-09-20,157,12
HI,2020-09-20,44,0
IA,2020-09-20,38,0
ID,2020-09-20,14,0
IL,2020-09-20,81,0
IN,2020-09-20,96,0
KS,2020-09-20,27,0
KY,2020-09-20,106,0
LA,2020-09-20,67,0
MA,2020-09-20,28,1
MD,2020-09-20,41,0
ME,2020-09-20,2,0
MI,2020-09-20,33,0
MN,2020-09-20,36,2
MO,2020-09-20,93,1
MS,2020-09-20,45,0
MT,2020-09-20,22,0
NC,2020-09-20,70,2
ND,2020-09-20,18,1
NE,2020-09-20,20,0
NH,2020-09-20,3,0
NJ,2020-09-20,23,2
NM,2020-09-20,56,0
NV,2020-09-20,42,2
NY,2020-09-20,63,4
OH,2020-09-20,69,1
OK,2020-09-20,104,1
OR,2020-09-20,11,0
PA,2020-09-20,54,0
PR,2020-09-20,15,5
RI,2020-09-20,3,1
SC,2020-09-20,48,0
SD,2020-09-20,21,0
TN,2020-09-20,85,0
TX,2020-09-20,353,6
UT,2020-09-20,13,3
VA,2020-09-20,56,5
VI,2020-09-20,0,0
VT,2020-09-20,0,0
WA,2020-09-20,22,0
WI,2020-09-20,64,2
WV,2020-09-20,23,0
WY,2020-09-20,7,0
AK,2020-09-19,7,0
AL,2020-09-19,102,2
AR,2020-09-19,60,0
AZ,2020-09-19,43,0
CA,2020-09-19,321,2
CO,2020-09-19,19,1
CT,2020-09-19,17,0
DC,2020-09-19,9,3
DE,2020-09-19,7,0
FL,2020-09-19,287,15
GA,2020-09-19,187,8
HI,2020-09-19,26,0
IA,2020-09-19,48,2
ID,2020-09-19,11,0
IL,2020-09-19,105,2
IN,2020-09-19,70,4
KS,2020-09-19,29,0
KY,2020-09-19,128,0
LA,2020-09-19,76,0
MA,2020-09-19,28,1
MD,2020-09-19,37,0
ME,2020-09-19,2,0
MI,2020-09-19,36,1
MN,2020-09-19,43,0
MO,2020-09-19,109,4
MS,2020-09-19,80,2
MT,2020-09-19,23,0
NC,2020-09-19,93,1
ND,2020-09-19,7,0
NE,2020-09-19,15,0
NH,2020-09-19,2,0
NJ,2020-09-19,21,1
NM,2020-09-19,13,0
NV,2020-09-19,44,0
NY,2020-09-19,105,2
OH,2020-09-19,87,2
OK,2020-09-19,122,2
OR,2020-09-19,10,0
PA,2020-09-19,51,1
PR,2020-09-19,21,4
RI,2020-09-19,3,0
SC,2020-09-19,67,0
SD,2020-09-19,36,0
TN,2020-09-19,81,2
OK,2020-07-16,54,0
OR,2020-07-16,14,0
PA,2020-07-16,52,3
PR,2020-07-16,0,0
RI,2020-07-16,1,0
SC,2020-07-16,116,0
SD,2020-07-16,10,7
TN,2020-07-16,132,0
TX,2020-07-16,954,60
UT,2020-07-16,20,0
VA,2020-07-16,87,1
VI,2020-07-16,2,NA
VT,2020-07-16,6,0
WA,2020-07-16,22,0
WI,2020-07-16,83,0
WV,2020-07-16,10,3
WY,2020-07-16,0,1
AK,2020-07-15,0,0
AL,2020-07-15,161,0
AR,2020-07-15,54,0
AZ,2020-07-15,186,9
CA,2020-07-15,449,166
CO,2020-07-15,15,1
CT,2020-07-15,9,0
DC,2020-07-15,4,0
DE,2020-07-15,1,0
FL,2020-07-15,446,5
GA,2020-07-15,138,5
HI,2020-07-15,4,0
IA,2020-07-15,29,1
ID,2020-07-15,10,0
IL,2020-07-15,65,3
IN,2020-07-15,41,4
KS,2020-07-15,32,1
KY,2020-07-15,33,0
LA,2020-07-15,162,0
MA,2020-07-15,20,0
MD,2020-07-15,42,0
ME,2020-07-15,0,1
MI,2020-07-15,31,2
MN,2020-07-15,4,0
MO,2020-07-15,67,2
MS,2020-07-15,52,0
MT,2020-07-15,3,0
NC,2020-07-15,87,0
ND,2020-07-15,NA,NA
NE,2020-07-15,2,NA
NH,2020-07-15,1,0
NJ,2020-07-15,20,0
NM,2020-07-15,19,0
NV,2020-07-15,0,1
NY,2020-07-15,54,0
OH,2020-07-15,54,1
OK,2020-07-15,48,2
OR,2020-07-15,5,0
PA,2020-07-15,41,1
PR,2020-07-15,0,0
RI,2020-07-15,0,0
SC,2020-07-15,114,0
SD,2020-07-15,13,2
TN,2020-07-15,180,0
TX,2020-07-15,814,-62
UT,2020-07-15,18,0
